Flight_Number,Departure_Airport,Arrival_Airport,Distance_km
EK921,CDG,DXB,12576
EK922,SYD,JFK,10284
EK923,LHR,DXB,7422
EK924,YYZ,CDG,3500
EK925,SIN,LHR,11961
EK926,LHR,LHR,7961
EK927,JFK,BOM,5912
EK928,LHR,JFK,4435
EK929,DXB,DXB,7976
EK930,SYD,BOM,13031
EK931,YYZ,BOM,8993
EK932,DEL,DEL,8647
EK933,YYZ,FRA,1263
EK934,LHR,FRA,2848
EK935,FRA,JFK,6276
EK936,YYZ,DXB,11394
EK937,SIN,DEL,3320
EK938,YYZ,JFK,5862
EK939,DXB,JFK,8958
EK940,DEL,BOM,8217
EK941,DEL,CDG,9207
EK942,FRA,SYD,7129
EK943,FRA,DEL,6191
EK944,BOM,CDG,5435
EK945,BOM,YYZ,11110
EK946,YYZ,FRA,9188
EK947,CDG,LHR,2463
EK948,SIN,LHR,13127
EK949,BOM,SIN,647
EK950,FRA,LHR,6195
EK951,DEL,CDG,2809
EK952,SYD,LHR,9192
EK953,DXB,DXB,3245
EK954,SYD,FRA,8122
EK955,FRA,CDG,1111
EK956,CDG,CDG,3986
EK957,FRA,DXB,9802
EK958,BOM,LHR,5584
EK959,FRA,FRA,13106
EK960,BOM,FRA,13494
EK961,DXB,DXB,6173
EK962,BOM,SIN,13974
EK963,FRA,LHR,7521
EK964,DEL,LHR,12986
EK965,SIN,SYD,9004
EK966,JFK,DEL,2149
EK967,FRA,CDG,11322
EK968,LHR,YYZ,7924
EK969,CDG,YYZ,9833
EK970,JFK,DXB,1595
EK971,SIN,LHR,4554
EK972,DXB,DEL,3368
EK973,CDG,CDG,7254
EK974,FRA,DXB,4202
EK975,JFK,LHR,10743
EK976,LHR,SIN,2046
EK977,DEL,YYZ,8259
EK978,BOM,CDG,7712
EK979,LHR,CDG,8246
EK980,LHR,YYZ,10940
EK981,YYZ,FRA,8628
EK982,FRA,JFK,2079
EK983,DXB,JFK,13675
EK984,SIN,SYD,10674
EK985,LHR,LHR,11627
EK986,JFK,BOM,9031
EK987,SYD,FRA,13001
EK988,JFK,BOM,11135
EK989,LHR,SIN,11926
EK990,BOM,CDG,2427
EK991,JFK,DXB,9395
EK992,YYZ,FRA,5402
EK993,BOM,CDG,7019
EK994,CDG,SIN,971
EK995,DXB,FRA,7726
EK996,DXB,CDG,2509
EK997,CDG,LHR,8805
EK998,DEL,DXB,2104
EK999,DXB,YYZ,5221
EK1000,CDG,SIN,459
